TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2019,1-1,2-0,0-2,2-0,1-1,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2019,2-1,1-3,1-2,4-0,0-4,3-1,1-1,1-1,,1-1,1-1,1-3,1-1,1-1,2-0,2-2,0-4,2-0,1-1,4-0,0-2,3-1,1-3,2-0,1-1,0-2,0-2,3-0,0-2,2-1,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2019,2-0,1-1,2-0,2-0,2-0,2-0,2-2,3-1,1-1,,1-3,2-0,3-1,3-1,3-1,1-1,1-1,3-1,3-0,2-0,2-1,1-1,1-1,3-1,2-2,4-0,1-2,0-2,2-1,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2019,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,1-1,3-1,,2-0,1-2,3-1,3-1,1-1,0-2,1-2,2-2,2-0,1-3,1-1,1-1,3-0,1-2,4-0,3-1,2-0,2-2,1-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2019,4-0,1-3,2-1,4-0,2-1,3-1,1-1,1-1,3-1,0-2,0-2,,1-1,1-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-3,1-3,2-0,0-2,1-1,1-1,1-2,2-0,3-1,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2019,1-1,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,1-3,2-1,1-1,,2-2,3-1,1-1,1-1,2-1,1-2,2-0,2-2,2-0,0-2,4-0,1-3,4-0,2-2,0-2,1-2,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2019,1-1,1-1,0-2,2-0,2-0,1-1,3-0,1-2,1-1,1-3,1-3,1-1,2-2,,1-2,2-0,0-2,1-3,3-1,0-2,1-2,0-2,0-2,3-1,2-2,3-1,1-3,0-2,2-2,1-1,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2019,1-1,0-2,1-1,0-2,0-2,1-1,3-1,1-2,0-2,1-3,1-3,1-1,1-3,2-1,,0-2,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-1,2-2,1-3,2-2,0-2,3-1,1-1,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2019,1-3,1-3,2-2,2-1,2-2,4-0,2-0,0-2,2-2,1-1,1-1,0-3,1-1,0-2,2-0,,1-3,0-2,2-0,3-0,1-1,1-3,1-2,1-1,2-0,0-2,2-0,0-4,1-1,3-1,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2019,3-1,2-1,3-1,4-0,3-1,3-1,2-0,2-0,4-0,1-1,2-0,3-1,1-1,2-0,1-1,3-1,,2-0,2-0,3-1,0-2,2-1,2-1,0-2,1-1,2-0,1-1,3-1,1-1,2-1,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2019,0-2,0-2,2-0,2-0,1-1,2-0,1-2,0-4,0-2,1-3,2-1,1-1,1-2,3-1,2-2,2-0,0-2,,2-2,2-0,3-1,1-1,0-2,2-1,1-3,2-2,1-3,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2019,0-2,0-2,1-1,2-0,1-1,2-0,3-1,2-2,1-1,0-3,2-2,0-2,2-1,1-3,2-2,0-2,0-2,2-2,,1-1,2-2,0-2,0-2,2-2,0-3,3-1,1-3,1-1,1-2,1-1,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2019,3-1,1-3,1-3,2-1,1-2,0-3,1-1,0-2,0-4,0-2,0-2,0-4,0-2,2-0,1-1,0-3,1-3,0-2,1-1,,0-2,1-3,0-4,0-2,0-2,0-2,1-1,0-4,0-2,1-3,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2019,1-1,0-2,2-0,1-1,2-0,2-0,1-3,0-4,2-0,1-2,3-1,1-1,2-2,2-1,2-1,1-1,2-0,1-3,2-2,2-0,,2-0,1-1,4-0,4-0,1-3,1-2,1-1,4-0,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2019,4-0,3-0,1-2,2-2,2-2,2-1,1-1,0-2,1-3,1-1,1-1,3-1,0-2,2-0,1-1,3-1,1-2,1-1,2-0,3-1,0-2,,2-2,1-1,0-2,0-2,1-1,2-2,1-1,1-3,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2019,1-3,1-3,2-2,3-1,4-0,2-1,1-1,1-1,3-1,1-1,1-1,3-1,2-0,2-0,1-1,2-1,1-2,2-0,2-0,4-0,1-1,2-2,,2-0,0-2,1-1,1-1,1-3,2-0,2-1,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2019,0-2,1-1,0-2,0-2,0-2,1-1,2-2,1-3,0-2,1-3,0-3,0-2,0-4,1-3,1-2,1-1,2-0,1-2,2-2,2-0,0-4,1-1,0-2,,0-3,1-3,1-3,0-2,0-4,0-2,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2019,2-0,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,2-2,2-1,2-0,3-1,2-2,2-2,0-2,1-1,3-1,3-0,2-0,0-4,2-0,2-0,3-0,,2-1,2-2,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2019,2-0,0-2,0-2,2-0,1-1,2-0,3-0,0-3,2-0,0-4,0-4,1-1,0-4,1-3,3-1,2-0,0-2,2-2,1-3,2-0,3-1,2-0,1-1,3-1,1-2,,3-0,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2019,2-0,2-0,1-1,1-1,0-2,2-0,4-0,2-2,2-0,2-1,1-3,1-1,2-2,3-1,2-2,0-2,1-1,3-1,3-1,1-1,2-1,1-1,1-1,3-1,2-2,0-3,,1-1,1-2,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2019,3-0,2-2,3-1,4-0,1-2,3-1,2-0,0-2,0-3,2-0,0-2,2-1,2-0,2-0,2-0,4-0,1-3,2-0,1-1,4-0,1-1,2-2,3-1,2-0,1-1,2-0,1-1,,2-0,4-0,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2019,1-1,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,1-2,2-2,0-2,2-1,2-2,1-3,1-1,1-1,3-1,2-1,2-0,0-4,1-1,0-2,4-0,2-2,3-1,2-1,0-2,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2019,2-2,0-3,2-2,1-3,1-3,2-2,1-1,1-1,1-2,0-2,1-1,1-3,1-1,1-1,1-1,1-3,1-2,1-1,1-1,3-1,1-1,3-1,1-2,2-0,1-1,1-1,0-2,0-4,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2018,,1-3,1-3,0-3,0-4,1-3,2-0,1-1,1-3,0-2,0-2,1-3,0-2,0-2,1-1,1-3,0-3,1-1,1-1,2-1,0-2,2-2,0-3,1-1,1-1,1-1,1-1,0-4,2-0,2-2,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2018,3-1,,4-0,3-1,3-0,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,2-0,1-2,2-2,2-0,0-2,3-1,2-0,3-1,3-1,2-0,2-0,2-0,1-1,2-2,1-1,1-3,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2018,3-1,0-4,,3-0,1-2,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,2-0,3-1,1-2,1-1,0-2,0-4,1-1,3-1,1-3,1-1,1-1,0-2,0-2,0-4,1-1,2-1,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2018,4-0,0-3,2-1,1-3,,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,2-0,0-4,2-2,1-1,0-2,2-2,1-1,4-0,0-4,2-0,0-2,2-0,0-2,0-4,1-1,3-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2018,3-0,1-3,0-3,,3-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,2-0,1-3,2-2,1-1,0-2,3-1,0-2,4-0,1-2,0-2,0-2,0-2,0-2,0-4,1-1,1-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2018,3-1,2-1,3-1,4-0,3-0,,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-0,2-1,3-1,1-1,1-1,2-2,1-1,2-2,2-2,2-0,1-1,1-1,0-2,2-1,1-1,3-1,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2018,0-2,0-2,0-2,0-2,1-1,0-2,,2-2,1-1,0-4,0-4,2-0,1-2,1-3,3-1,0-2,1-1,0-4,1-3,1-1,2-2,1-1,0-2,0-3,1-2,2-2,1-3,1-1,0-3,2-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2018,1-1,0-2,2-0,2-0,1-1,1-1,2-2,,2-0,2-2,0-3,1-1,1-2,2-2,3-1,1-1,2-0,1-3,2-1,1-1,3-1,2-0,0-2,2-1,3-1,3-1,2-2,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2018,3-1,1-2,3-1,3-1,1-2,1-3,1-1,0-2,,1-1,1-1,3-1,1-1,1-1,1-1,2-2,2-2,2-0,0-2,3-0,1-1,1-2,0-4,2-0,1-1,2-0,1-1,0-4,0-2,1-3,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2018,2-0,1-1,2-0,2-0,1-1,2-0,4-0,2-2,1-1,,1-2,0-2,3-1,4-0,2-1,2-0,1-1,2-1,3-1,2-0,2-2,2-0,2-0,4-0,1-2,2-2,3-1,2-0,1-3,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2018,2-0,1-1,2-0,2-0,2-0,2-0,4-0,3-0,1-1,2-1,,2-0,2-2,3-1,2-2,2-0,2-0,4-0,3-1,2-0,1-2,2-0,1-1,4-0,4-0,2-1,3-1,0-2,4-0,1-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2018,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2018,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2018,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2018,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2018,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2,,,,,,,,,,,,,,,,,,,
