TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2015,3-1,2-2,2-2,0-4,2-2,1-3,0-2,2-0,2-2,0-2,1-1,3-0,2-0,1-1,1-1,2-1,2-1,2-0,0-2,3-1,1-1,4-0,4-0,1-1,0-2,2-0,1-1,,2-0,3-0,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2015,0-2,0-2,2-0,1-1,1-1,1-1,1-3,2-2,2-0,1-3,1-3,0-2,0-4,2-1,2-2,1-1,2-0,3-1,1-2,2-0,2-2,1-1,2-0,1-2,2-2,3-1,2-1,0-2,,0-2,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2015,1-3,2-1,2-2,2-2,2-2,1-3,0-2,2-0,2-1,0-2,1-1,2-2,1-1,2-0,2-0,3-1,2-1,1-1,2-0,4-0,0-2,4-0,3-1,0-2,1-1,1-1,1-1,0-3,2-0,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2014,,2-2,1-2,3-1,0-4,3-0,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,2-2,3-0,1-1,0-2,2-2,0-2,2-2,3-0,0-2,0-2,2-0,0-2,2-2,2-0,1-3,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2014,2-2,,1-3,2-1,0-3,3-0,0-2,1-1,1-3,0-2,0-2,0-4,0-2,0-2,0-2,2-1,2-2,1-1,0-2,2-2,0-2,3-1,1-3,0-2,0-2,1-1,0-2,1-3,1-1,1-3,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2014,2-1,3-1,,2-2,1-2,2-2,2-0,1-1,1-3,1-1,1-1,0-4,1-1,1-1,2-0,4-0,3-0,1-1,1-1,1-3,1-1,2-2,3-1,2-0,0-2,1-1,1-1,2-2,2-0,0-3,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2014,1-3,1-2,2-2,,1-3,4-0,1-1,2-0,3-0,2-0,0-2,1-2,1-1,1-1,1-1,0-4,4-0,1-1,1-1,2-2,0-2,2-2,3-1,0-2,1-1,2-0,0-2,3-0,0-2,3-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2014,4-0,3-0,2-1,3-1,,3-1,1-1,1-1,3-1,1-1,1-1,2-2,0-2,2-0,1-1,2-2,3-1,1-1,0-2,2-2,0-2,2-1,3-1,2-0,0-2,1-1,1-1,2-2,1-1,1-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2014,0-3,0-3,2-2,0-4,1-3,,0-2,2-0,3-1,1-1,0-2,1-3,1-1,1-1,1-1,0-3,2-2,1-1,0-2,2-2,1-1,4-0,3-1,1-1,0-2,1-1,0-2,1-2,2-0,2-2,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2014,1-1,2-0,0-2,1-1,1-1,2-0,,1-3,2-0,1-3,2-2,2-0,1-3,3-0,3-1,0-2,2-0,1-3,4-0,1-1,2-1,2-0,2-0,2-1,2-1,3-1,0-4,0-2,4-0,2-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2014,1-1,1-1,1-1,0-2,1-1,0-2,3-1,,1-1,2-2,1-2,1-1,2-2,3-0,1-3,1-1,2-0,2-2,2-2,1-1,1-3,2-0,1-1,0-4,0-4,1-2,0-3,1-1,2-2,2-0,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2014,2-2,3-1,3-1,0-3,1-3,1-3,0-2,1-1,,0-2,0-2,1-3,0-2,0-2,0-2,1-3,3-1,0-2,0-2,2-1,0-2,1-2,3-1,1-1,0-2,2-0,1-1,0-3,1-1,2-2,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2014,2-0,2-0,1-1,0-2,1-1,1-1,3-1,2-2,2-0,,1-2,1-1,2-2,3-1,2-2,1-1,2-0,2-1,3-0,1-1,1-2,2-0,2-0,2-2,2-2,4-0,0-4,1-1,4-0,1-1,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2014,1-1,2-0,1-1,2-0,1-1,2-0,2-2,2-1,2-0,2-1,,1-1,0-4,3-1,2-2,1-1,2-0,3-1,3-1,2-0,1-3,2-0,1-1,2-1,3-1,2-2,4-0,1-1,2-1,2-0,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2014,2-2,4-0,4-0,2-1,2-2,3-1,0-2,1-1,3-1,1-1,1-1,,2-0,2-0,1-1,2-2,4-0,1-1,2-0,2-1,1-1,3-1,3-0,0-2,1-1,2-0,1-1,2-2,2-0,2-1,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2014,1-1,2-0,1-1,1-1,2-0,1-1,3-1,2-2,2-0,2-2,4-0,0-2,,3-1,1-2,0-2,2-0,4-0,3-1,2-0,2-2,1-1,2-0,3-1,1-2,4-0,1-2,2-0,3-0,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2014,1-1,2-0,1-1,1-1,0-2,1-1,0-3,0-3,2-0,1-3,1-3,0-2,1-3,,1-3,0-2,0-2,1-3,1-2,1-1,1-3,1-1,1-1,1-3,1-2,3-1,1-3,1-1,2-2,0-2,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2014,2-0,2-0,0-2,1-1,1-1,1-1,1-3,3-1,2-0,2-2,2-2,1-1,2-1,3-1,,1-1,2-0,2-2,1-3,2-0,1-3,2-0,2-0,4-0,2-1,3-0,0-4,0-2,3-0,2-0,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2014,2-2,1-2,0-4,4-0,2-2,3-0,2-0,1-1,3-1,1-1,1-1,2-2,2-0,2-0,1-1,,3-0,1-1,1-1,3-1,1-1,4-0,1-2,2-0,2-0,1-1,1-1,4-0,1-1,2-2,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2014,0-3,2-2,0-3,0-4,1-3,2-2,0-2,0-2,1-3,0-2,0-2,0-4,0-2,2-0,0-2,0-3,,0-2,0-2,1-3,0-2,2-2,2-1,0-2,0-2,0-2,0-2,0-4,1-1,1-3,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2014,1-1,1-1,1-1,1-1,1-1,1-1,3-1,2-2,2-0,1-2,1-3,1-1,0-4,3-1,2-2,1-1,2-0,,2-1,1-1,1-3,1-1,2-0,1-2,1-3,2-2,1-2,0-2,3-1,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2014,2-0,2-0,1-1,1-1,2-0,2-0,0-4,2-2,2-0,0-3,1-3,0-2,1-3,2-1,3-1,1-1,2-0,1-2,,1-1,1-2,1-1,2-0,0-4,1-3,1-3,0-4,0-2,2-2,0-2,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2014,2-2,2-2,3-1,2-2,2-2,2-2,1-1,1-1,1-2,1-1,0-2,1-2,0-2,1-1,0-2,1-3,3-1,1-1,1-1,,0-2,2-1,3-1,1-1,0-2,1-1,1-1,2-2,2-0,0-3,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2014,2-0,2-0,1-1,2-0,2-0,1-1,1-2,3-1,2-0,2-1,3-1,1-1,2-2,3-1,3-1,1-1,2-0,3-1,2-1,2-0,,1-1,2-0,1-2,2-2,4-0,4-0,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2014,2-2,1-3,2-2,2-2,1-2,0-4,0-2,0-2,2-1,0-2,0-2,1-3,1-1,1-1,0-2,0-4,2-2,1-1,1-1,1-2,1-1,,3-1,0-2,1-1,0-2,0-2,0-3,0-2,0-4,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2014,0-3,3-1,1-3,1-3,1-3,1-3,0-2,1-1,1-3,0-2,1-1,0-3,0-2,1-1,0-2,2-1,1-2,0-2,0-2,1-3,0-2,1-3,,0-2,1-1,1-1,0-2,0-4,0-2,1-3,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2014,2-0,2-0,0-2,2-0,0-2,1-1,1-2,4-0,1-1,2-2,1-2,2-0,1-3,3-1,0-4,0-2,2-0,2-1,4-0,1-1,2-1,2-0,2-0,,3-1,2-2,1-3,2-0,2-2,1-1,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2014,2-0,2-0,2-0,1-1,2-0,2-0,1-2,4-0,2-0,2-2,1-3,1-1,2-1,2-1,1-2,0-2,2-0,3-1,3-1,2-0,2-2,1-1,1-1,1-3,,3-1,2-2,2-0,4-0,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2014,0-2,1-1,1-1,0-2,1-1,1-1,1-3,2-1,0-2,0-4,2-2,0-2,0-4,1-3,0-3,1-1,2-0,2-2,3-1,1-1,0-4,2-0,1-1,2-2,1-3,,0-3,1-1,1-2,1-1,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2014,2-0,2-0,1-1,2-0,1-1,2-0,4-0,3-0,1-1,4-0,0-4,1-1,2-1,3-1,4-0,1-1,2-0,2-1,4-0,1-1,0-4,2-0,2-0,3-1,2-2,3-0,,2-0,4-0,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2014,2-2,3-1,2-2,0-3,2-2,2-1,2-0,1-1,3-0,1-1,1-1,2-2,0-2,1-1,2-0,0-4,4-0,2-0,2-0,2-2,1-1,3-0,4-0,0-2,0-2,1-1,0-2,,2-0,3-1,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2014,0-2,1-1,0-2,2-0,1-1,0-2,0-4,2-2,1-1,0-4,1-2,0-2,0-3,2-2,0-3,1-1,1-1,1-3,2-2,0-2,1-3,2-0,2-0,2-2,0-4,2-1,0-4,0-2,,1-1,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2014,3-1,3-1,3-0,1-3,2-1,2-2,0-2,0-2,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,3-1,1-1,2-0,3-0,1-1,4-0,3-1,1-1,1-1,1-1,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2013,,1-3,2-2,4-0,1-2,2-2,1-1,1-1,2-1,0-2,0-2,2-2,1-1,1-1,2-0,0-4,4-0,1-1,1-1,0-3,1-1,4-0,2-2,1-1,1-1,2-0,0-2,2-1,2-0,3-1,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2013,3-1,,1-3,2-2,2-2,2-2,1-1,1-1,1-2,1-1,1-1,2-0,1-1,1-1,0-2,1-3,1-3,1-1,0-2,1-3,1-1,3-0,2-2,2-0,1-1,1-1,0-2,3-1,2-0,3-0,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2013,2-2,3-1,,3-0,1-3,3-0,1-1,1-1,4-0,0-2,0-2,3-0,1-1,0-2,0-2,0-3,2-2,1-1,2-0,2-2,1-1,4-0,3-1,2-0,2-0,2-0,0-2,3-1,0-2,3-1,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2013,0-4,2-2,0-3,,1-2,1-2,1-1,0-2,1-3,0-2,0-2,1-3,0-2,0-2,0-2,0-4,2-2,2-0,0-2,1-2,0-2,3-1,1-3,0-2,0-2,0-2,0-2,2-2,0-2,3-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2013,2-1,2-2,3-1,2-1,,3-1,1-1,0-2,3-1,2-0,0-2,1-3,0-2,1-1,0-2,2-2,2-2,2-0,1-1,4-0,0-2,4-0,3-0,1-1,0-2,1-1,0-2,1-2,2-0,2-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2013,2-2,2-2,0-3,2-1,1-3,,0-2,0-2,0-4,0-2,0-2,0-4,1-1,1-1,0-2,0-4,2-2,0-2,1-1,0-3,1-1,3-1,1-3,0-2,1-1,0-2,0-2,2-2,1-1,3-0,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2013,1-1,1-1,1-1,1-1,1-1,2-0,,1-2,2-0,1-2,3-1,0-2,1-2,1-3,1-3,0-2,1-1,2-2,3-1,1-1,0-4,2-0,1-1,3-1,3-1,4-0,0-4,1-1,1-2,2-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2013,1-1,1-1,1-1,2-0,2-0,2-0,2-1,,2-0,3-1,4-0,2-0,2-1,3-1,3-1,0-2,2-0,2-2,2-1,1-1,3-1,1-1,1-1,2-1,3-1,4-0,2-2,1-1,3-1,0-2,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2013,1-2,2-1,0-4,3-1,1-3,4-0,0-2,0-2,,0-2,0-2,0-4,0-2,0-2,0-2,1-2,3-1,0-2,0-2,0-4,0-2,2-2,2-1,1-1,1-1,1-1,1-1,2-2,0-2,4-0,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2013,2-0,1-1,2-0,2-0,0-2,2-0,2-1,1-3,2-0,,1-3,1-1,3-1,1-3,0-3,1-1,0-2,4-0,4-0,1-1,1-3,0-2,1-1,4-0,3-0,1-3,2-2,2-0,1-2,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2013,2-0,1-1,2-0,2-0,2-0,2-0,1-3,0-4,2-0,3-1,,0-2,1-2,2-2,1-3,0-2,1-1,2-1,3-1,2-0,1-2,2-0,1-1,2-2,2-2,2-1,1-3,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2013,2-2,0-2,0-3,3-1,3-1,4-0,2-0,0-2,4-0,1-1,2-0,,1-1,1-1,2-0,2-1,2-2,1-1,2-0,2-2,0-2,2-1,2-2,2-0,1-1,2-0,0-2,2-2,1-1,3-1,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2013,1-1,1-1,1-1,2-0,2-0,1-1,2-1,1-2,2-0,1-3,2-1,1-1,,4-0,3-1,1-1,2-0,4-0,3-1,2-0,0-3,1-1,2-0,3-1,3-1,3-1,2-2,1-1,4-0,1-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2013,1-1,1-1,2-0,2-0,1-1,1-1,3-1,1-3,2-0,3-1,2-2,1-1,0-4,,1-2,0-2,1-1,3-0,4-0,1-1,1-3,1-1,1-1,2-2,3-1,3-1,1-2,1-1,1-2,1-1,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2013,0-2,2-0,2-0,2-0,2-0,2-0,3-1,1-3,2-0,3-0,3-1,0-2,1-3,2-1,,1-1,2-0,3-0,2-2,1-1,2-1,2-0,1-1,2-2,3-1,4-0,2-2,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2013,4-0,3-1,3-0,4-0,2-2,4-0,2-0,2-0,2-1,1-1,2-0,1-2,1-1,2-0,1-1,,3-1,2-0,2-0,1-3,2-0,4-0,4-0,2-0,1-1,2-0,2-0,3-0,1-1,3-1,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2013,0-4,3-1,2-2,2-2,2-2,2-2,1-1,0-2,1-3,2-0,1-1,2-2,0-2,1-1,0-2,1-3,,0-2,1-1,0-3,1-1,2-1,3-1,2-0,2-0,2-0,0-2,3-0,1-1,1-2,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2013,1-1,1-1,1-1,0-2,0-2,2-0,2-2,2-2,2-0,0-4,1-2,1-1,0-4,0-3,0-3,0-2,2-0,,3-1,0-2,2-2,1-1,2-0,3-1,0-4,2-1,2-2,0-2,0-4,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2013,1-1,2-0,0-2,2-0,1-1,1-1,1-3,1-2,2-0,0-4,1-3,0-2,1-3,0-4,2-2,0-2,1-1,1-3,,0-2,0-4,1-1,1-1,2-1,2-1,2-1,1-3,0-2,1-3,0-2,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2013,3-0,3-1,2-2,2-1,0-4,3-0,1-1,1-1,4-0,1-1,0-2,2-2,0-2,1-1,1-1,3-1,3-0,2-0,2-0,,1-1,4-0,3-1,2-0,0-2,1-1,2-0,2-2,2-0,3-1,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2013,1-1,1-1,1-1,2-0,2-0,1-1,4-0,1-3,2-0,3-1,2-1,2-0,3-0,3-1,1-2,0-2,1-1,2-2,4-0,1-1,,2-0,2-0,4-0,4-0,3-0,2-2,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2013,0-4,0-3,0-4,1-3,0-4,1-3,0-2,1-1,2-2,2-0,0-2,1-2,1-1,1-1,0-2,0-4,1-2,1-1,1-1,0-4,0-2,,2-1,2-0,1-1,0-2,0-2,0-4,0-2,2-2,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2013,2-2,2-2,1-3,3-1,0-3,3-1,1-1,1-1,1-2,1-1,1-1,2-2,0-2,1-1,1-1,0-4,1-3,0-2,1-1,1-3,0-2,1-2,,1-1,1-1,2-0,0-2,3-1,1-1,2-1,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2013,1-1,0-2,0-2,2-0,1-1,2-0,1-3,1-2,1-1,0-4,2-2,0-2,1-3,2-2,2-2,0-2,0-2,1-3,1-2,0-2,0-4,0-2,1-1,,2-1,2-2,1-2,0-2,1-3,0-2,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2013,1-1,1-1,0-2,2-0,2-0,1-1,1-3,1-3,1-1,0-3,2-2,1-1,1-3,1-3,1-3,1-1,0-2,4-0,1-2,2-0,0-4,1-1,1-1,1-2,,2-2,2-1,1-1,1-3,0-2,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2013,0-2,1-1,0-2,2-0,1-1,2-0,0-4,0-4,1-1,3-1,1-2,0-2,1-3,1-3,0-4,0-2,0-2,1-2,1-2,1-1,0-3,2-0,0-2,2-2,2-2,,0-4,2-0,2-2,2-0,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2013,2-0,2-0,2-0,2-0,2-0,2-0,4-0,2-2,1-1,2-2,3-1,2-0,2-2,2-1,2-2,0-2,2-0,2-2,3-1,0-2,2-2,2-0,2-0,2-1,1-2,4-0,,2-0,2-1,2-0,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2013,1-2,1-3,1-3,2-2,2-1,2-2,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,0-3,0-3,2-0,2-0,2-2,0-2,4-0,1-3,2-0,1-1,0-2,0-2,,0-2,2-2,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2013,0-2,0-2,2-0,2-0,0-2,1-1,2-1,1-3,2-0,2-1,1-3,1-1,0-4,2-1,1-3,1-1,1-1,4-0,3-1,0-2,1-3,2-0,1-1,3-1,3-1,2-2,1-2,2-0,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2013,1-3,0-3,1-3,1-3,2-2,0-3,0-2,2-0,0-4,0-2,1-1,1-3,1-1,1-1,1-1,1-3,2-1,1-1,2-0,1-3,1-1,2-2,1-2,2-0,2-0,0-2,0-2,2-2,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2012,,1-2,4-0,1-3,3-0,1-0,0-1,3-1,0-1,0-1,2-1,1-1,0-1,0-1,1-3,2-1,1-0,4-0,1-0,1-2,1-0,3-0,0-3,1-1,1-1,1-0,0-1,3-1,1-0,3-0,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2012,2-1,,3-0,1-3,2-1,0-2,0-1,1-2,1-0,1-0,2-2,1-0,0-2,1-0,3-1,3-0,1-0,3-0,0-1,2-2,0-2,3-0,1-2,0-1,1-0,0-1,0-1,2-2,1-0,4-0,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2012,0-4,0-3,,0-3,0-3,0-1,0-1,0-4,1-0,0-2,0-3,0-1,0-1,0-1,0-3,1-2,0-2,0-4,1-1,1-3,0-1,1-3,0-3,0-1,0-1,0-1,0-1,2-1,0-1,0-4,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2012,3-1,3-1,3-0,,3-0,1-0,0-1,4-0,0-1,0-1,2-1,1-0,1-0,1-1,2-2,4-0,1-0,2-1,2-0,3-1,0-1,2-1,2-1,1-0,0-1,2-0,1-0,3-0,1-0,2-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2012,0-3,1-2,3-0,0-3,,1-0,1-0,2-2,0-1,1-0,1-3,1-0,0-1,0-1,0-3,0-4,1-0,2-2,0-1,2-2,1-0,0-3,0-3,1-1,0-1,1-0,0-2,1-3,0-2,1-2,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2012,0-1,2-0,1-0,0-1,0-1,,3-1,1-0,2-1,3-0,0-1,1-2,0-4,1-2,0-2,1-0,1-2,0-1,2-1,1-1,1-3,1-0,1-0,3-1,2-1,2-1,2-2,1-0,3-1,1-0,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2012,1-0,1-0,1-0,1-0,0-1,1-3,,1-0,1-2,3-1,1-0,1-3,1-3,0-3,1-0,2-0,3-1,1-0,2-2,1-0,1-2,2-0,1-0,3-0,1-2,3-0,1-2,1-1,1-2,1-0,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2012,1-3,2-1,4-0,0-4,2-2,0-1,0-1,,0-1,0-1,1-2,0-1,1-0,0-2,0-3,1-3,0-2,2-1,1-0,0-3,0-1,2-1,1-3,0-1,1-0,2-0,0-1,2-1,0-1,2-1,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2012,1-0,0-1,0-1,1-0,1-0,1-2,2-1,1-0,,1-2,0-2,2-2,0-4,0-4,1-0,0-1,2-1,0-2,1-2,1-0,0-3,0-1,0-2,2-1,1-3,3-1,0-3,0-1,1-3,1-0,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2012,1-0,0-1,2-0,1-0,0-1,0-3,1-3,1-0,2-1,,0-1,0-3,2-1,2-2,0-1,0-1,1-3,1-0,2-1,1-0,2-2,0-1,1-0,2-2,3-0,3-0,2-2,1-1,1-2,2-0,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2012,1-2,2-2,3-0,1-2,3-1,1-0,0-1,2-1,2-0,1-0,,1-0,1-0,0-1,1-3,3-0,2-0,3-1,2-0,1-2,1-0,1-3,2-2,0-1,1-0,0-1,0-1,3-0,1-0,3-0,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2012,1-1,0-1,1-0,0-1,0-1,2-1,3-1,1-0,2-2,3-0,0-1,,1-2,2-1,1-0,1-0,1-3,1-1,2-1,0-1,3-1,1-0,1-0,1-3,3-1,3-0,1-2,1-0,2-1,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2012,1-0,2-0,1-0,0-1,1-0,4-0,3-1,0-1,4-0,1-2,0-1,2-1,,2-1,1-1,0-1,4-0,1-0,3-0,1-1,1-2,0-1,0-1,2-2,2-1,1-2,1-2,1-0,2-2,0-1,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2012,1-0,0-1,1-0,1-1,1-0,2-1,3-0,2-0,4-0,2-2,1-0,1-2,1-2,,1-0,1-0,4-0,1-0,3-1,1-0,1-3,1-0,1-0,1-2,1-2,2-1,0-4,1-1,1-2,1-0,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2012,3-1,1-3,3-0,2-2,3-0,2-0,0-1,3-0,0-1,1-0,3-1,0-1,1-1,0-1,,1-2,1-0,3-0,1-0,3-0,1-1,2-2,4-0,1-0,1-0,1-0,1-0,3-0,0-1,1-2,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2012,1-2,0-3,2-1,0-4,4-0,0-1,0-2,3-1,1-0,1-0,0-3,0-1,1-0,0-1,2-1,,1-0,3-0,0-1,2-2,0-1,0-4,1-2,0-2,2-0,0-1,1-0,3-0,0-1,3-1,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2012,0-1,0-1,2-0,0-1,0-1,2-1,1-3,2-0,1-2,3-1,0-2,3-1,0-4,0-4,0-1,0-1,,1-0,1-2,0-1,0-3,0-1,1-0,1-2,2-1,2-2,2-1,0-1,1-2,1-0,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2012,0-4,0-3,4-0,1-2,2-2,1-0,0-1,1-2,2-0,0-1,1-3,1-1,0-1,0-1,0-3,0-3,0-1,,0-1,1-2,0-1,0-3,2-2,1-0,0-1,1-0,0-1,2-2,0-2,2-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2012,0-1,1-0,1-1,0-2,1-0,1-2,2-2,0-1,2-1,1-2,0-2,1-2,0-3,1-3,0-1,1-0,2-1,1-0,,1-0,0-3,1-0,0-1,1-3,0-4,1-3,0-4,0-1,2-1,0-1,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2012,2-1,2-2,3-1,1-3,2-2,1-1,0-1,3-0,0-1,0-1,2-1,1-0,1-1,0-1,0-3,2-2,1-0,2-1,0-1,,0-1,2-1,2-1,0-1,1-0,2-0,0-1,2-2,1-0,3-0,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2012,0-1,2-0,1-0,1-0,0-1,3-1,2-1,1-0,3-0,2-2,0-1,1-3,2-1,3-1,1-1,1-0,3-0,1-0,3-0,1-0,,2-0,1-0,3-0,3-1,3-1,1-2,1-0,2-1,0-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2012,0-3,0-3,3-1,1-2,3-0,0-1,0-2,1-2,1-0,1-0,3-1,0-1,1-0,0-1,2-2,4-0,1-0,3-0,0-1,1-2,0-2,,3-1,1-0,1-0,1-0,0-2,3-0,0-1,3-1,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2012,3-0,2-1,3-0,1-2,3-0,0-1,0-1,3-1,2-0,0-1,2-2,0-1,1-0,0-1,0-4,2-1,0-1,2-2,1-0,1-2,0-1,1-3,,1-0,0-1,1-0,0-2,2-1,1-1,3-1,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2012,1-1,1-0,1-0,0-1,1-1,1-3,0-3,1-0,1-2,2-2,1-0,3-1,2-2,2-1,0-1,2-0,2-1,0-1,3-1,1-0,0-3,0-1,0-1,,2-1,3-0,0-4,0-1,2-1,1-0,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2012,1-1,0-1,1-0,1-0,1-0,1-2,2-1,0-1,3-1,0-3,0-1,1-3,1-2,2-1,0-1,0-2,1-2,1-0,4-0,0-1,1-3,0-1,1-0,1-2,,2-2,1-2,1-0,0-4,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2012,0-1,1-0,1-0,0-2,0-1,1-2,0-3,0-2,1-3,0-3,1-0,0-3,2-1,1-2,0-1,1-0,2-2,0-1,3-1,0-2,1-3,0-1,0-1,0-3,2-2,,1-2,1-0,2-2,1-0,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2012,1-0,1-0,1-0,0-1,2-0,2-2,2-1,1-0,3-0,2-2,1-0,2-1,2-1,4-0,0-1,0-1,1-2,1-0,4-0,1-0,2-1,2-0,2-0,4-0,2-1,2-1,,1-0,3-1,1-0,,,,,,,,,,,,,,,,,,,
