diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away,game_id,game_date_est
-5.4,3.2,2.2,2.6,0.004,0.0224,-0.01,0.0312,-0.1062,-0.0288,-1.2,6,20700167,2007-11-21
16.4,8.6,1.4,1.6,0.0262,-0.0596,0.068,0.0442,0.0792,0.054,-1.4,-3,20700168,2007-11-21
-17.6,-4,-5.4,-3.2,-0.029,-0.0616,-0.0622,0.0042,0.0712,0.0242,-2,-0.6,20700169,2007-11-21
3,-2.4,0.4,-2.4,0.0766,0.0376,0.0304,0.0106,0.0884,0.025,-9.4,0,20700170,2007-11-23
-2.8,8.8,-1.6,5.6,-0.0956,0.015,-0.0336,0.0788,0.0608,-0.0206,-3.8,4,20700171,2007-11-23
-9,-10.8,-2,-4.8,-0.0698,-0.0892,0.04,-0.0286,0.0094,-0.1348,-2.8,-3.8,20700172,2007-11-23
-8,-9.4,1,0.8,-0.0284,0.0018,0.0048,-0.0732,0.089,0.0038,-3,-2.6,20700173,2007-11-23
7.6,7,0.6,2.2,0.0204,-0.0586,-0.0212,0.028,-0.0096,-0.0184,0,1,20700174,2007-11-23
5.2,9.4,4.2,4.2,-0.0106,-0.0556,-0.0092,0.0396,0.0508,-0.0184,-4,0.6,20700175,2007-11-23
-5.8,-10.8,-0.4,-3.8,-0.0326,-0.0642,-0.0056,0.0254,0.0432,-0.085,-3,-6.4,20700176,2007-11-23
19,-8.2,9.2,0,-0.0072,-0.0702,0.0618,-0.0862,0.0002,-0.2072,8.4,6.2,20700177,2007-11-23
9.4,-9,4.8,-2,-0.0472,-0.0488,0.035,-0.0432,0.0428,-0.063,3.8,-6,20700178,2007-11-23
16,11.8,3.8,-0.8,0.0654,0.0822,0.0504,0.0618,-0.0272,0.071,-5.6,0.2,20700179,2007-11-23
-9.6,-11.6,1.2,2,-0.0628,0.0656,0.0074,-0.0062,0.0242,-0.0054,-0.6,-6.8,20700180,2007-11-23
19,12.4,2,-0.8,0.0538,-0.0456,0.001,0.006,0.017,0.0872,5,7.8,20700181,2007-11-23
5.6,2.4,0,-5,0.0054,-0.0594,0.003,-0.02,-0.0588,-0.0248,3.4,3,20700182,2007-11-24
7.6,5.2,2.4,0.4,0.055,-0.0228,0.0324,0.0124,-0.071,-0.0866,-0.4,-2.4,20700183,2007-11-24
-7.8,-19.4,2.2,-2.4,0.0388,0.0378,0.02,-0.0174,-0.0034,0.0172,-9.6,-0.8,20700184,2007-11-24
