home_w,home_l,away_w,away_l,top_players,eff,HG_7days,AG_7days,G_7days,back2back,missing_players,home_elo,month,Home_Last_10_Avg_PTS_home,Home_Last_10_Avg_FG_PCT_home,Home_Last_10_Avg_FT_PCT_home,Home_Last_10_Avg_FG3_PCT_home,Home_Last_10_Avg_AST_home,Home_Last_10_Avg_REB_home,Home_Last_10_Avg_PTS_away,Home_Last_10_Avg_FG_PCT_away,Home_Last_10_Avg_FT_PCT_away,Home_Last_10_Avg_REB_away,Home_Last_10_Avg_FG3_PCT_away,Home_Last_10_Avg_AST_away,home_team_wins
16,14,21,11,0,828.2222222,0,4,4,0,0,1672.251256,3,113.4,0.4585,0.7098,0.3276,24.4,46.1,114.7,0.4752,0.7677,44.9,0.3652,25.1,1
16,13,11,22,1,714.7777778,0,3,3,0,0,1598.099871,3,115.1,0.4742,0.7572,0.3755,25.5,45.7,114.1,0.4658,0.7849,45.4,0.3826,21.5,1
9,19,12,20,0,589.8,2,2,4,0,1,1462.938413,3,99.5,0.4138,0.7593,0.2924,23.3,44.8,101.9,0.4451,0.7473,49.4,0.3419,22.7,0
23,6,18,12,1,782.6666667,1,2,3,0,0,1750.104381,3,114.6,0.4427,0.7733,0.3822,20.4,45.3,113.9,0.4492,0.8113,48.5,0.3764,20.1,0
12,18,14,16,0,845.5714286,2,1,3,0,1,1640.354098,3,116.4,0.4729,0.7346,0.3481,28.2,46.8,118.7,0.4896,0.7106,44.4,0.38,29.9,0
20,12,17,11,0,762.1818182,1,2,3,0,0,1703.939456,3,116.3,0.4941,0.7955,0.3726,22.9,44.7,107.5,0.4545,0.7965,42.1,0.3381,23.2,0
24,7,17,12,1,1029.555556,2,1,3,0,0,1709.603932,3,119.4,0.5163,0.7916,0.4243,29.5,42.6,109,0.4609,0.783,39.8,0.3341,23.6,0
11,21,13,16,1,914.5714286,3,0,3,0,0,1537.024775,3,110.7,0.4804,0.8567,0.3722,24.9,43.3,108.8,0.4635,0.8282,38.1,0.3515,25.9,0
21,7,25,6,2,891.3333333,1,3,4,0,0,1757.686208,3,112.6,0.4698,0.7431,0.3266,27.4,45.8,111.8,0.4759,0.7149,42.6,0.3619,25,1
13,15,13,19,0,1009.777778,1,3,4,0,0,1609.178616,3,112.5,0.4688,0.7562,0.3662,24.2,42.5,108.2,0.4541,0.7546,44.5,0.3507,24.5,1
9,23,8,20,0,754.8333333,3,1,4,0,2,1409.592342,3,114.7,0.4866,0.7678,0.3601,27.5,43.6,112.8,0.4886,0.6938,42,0.3689,27.6,0
9,20,9,22,1,802.5555556,1,3,4,0,0,1431.334388,3,113.5,0.4838,0.7249,0.3732,25.7,41.2,112.6,0.473,0.7089,44.6,0.3544,25,1
16,14,11,19,1,650.5833333,1,3,4,0,0,1569.828753,3,115.6,0.4749,0.7722,0.3676,28.9,44.1,115.7,0.4769,0.7973,43.5,0.3932,26.7,0
13,18,6,25,0,664,3,1,4,0,1,1476.582886,3,127.3,0.4863,0.8288,0.3963,28.2,46.9,118.1,0.4559,0.8021,44.6,0.347,25.2,0
25,4,13,18,0,725.7777778,3,1,4,0,0,1647.581921,3,118.3,0.4822,0.77,0.4184,26.3,42.3,112.8,0.457,0.7629,42.5,0.3598,28,1
12,19,8,21,0,891.8333333,1,1,2,0,0,1438.34883,3,119.5,0.5223,0.7162,0.4021,26.1,41.3,114.1,0.4843,0.7559,40.5,0.3844,26.1,1
15,13,10,20,1,764.2222222,2,0,2,0,0,1611.53046,3,116.9,0.508,0.7716,0.4338,26.5,45.7,109.8,0.4499,0.7924,41.1,0.3806,24.5,0
9,18,12,20,0,572.2,1,2,3,0,1,1465.11866,3,101,0.4245,0.7336,0.2985,23.5,44.7,103.8,0.4587,0.7299,47,0.3664,24.2,0
7,21,10,20,0,766,0,4,4,0,1,1467.766083,3,126.6,0.5073,0.7581,0.3979,28.3,43.4,121.2,0.4705,0.7692,42.6,0.3764,23.6,0
24,6,16,13,3,1197.9,2,1,3,0,0,1691.738767,3,117.2,0.4606,0.7789,0.3861,28.8,48.5,111.4,0.4516,0.7787,46.2,0.3524,23.2,1
23,7,17,12,1,965.2222222,2,1,3,0,0,1698.510193,3,118.9,0.5108,0.7966,0.4195,29,42.8,109.5,0.4648,0.7706,40.9,0.3391,24.2,1
12,15,13,19,0,1009.777778,0,3,3,0,0,1606.64128,3,113.2,0.4788,0.7419,0.3924,25,40.8,109.1,0.4563,0.7665,44.8,0.342,24.7,1
12,17,14,16,0,845.5714286,1,2,3,0,1,1649.463009,3,116.7,0.4698,0.7392,0.3576,28,45.9,117.4,0.4828,0.6956,47.1,0.3732,29.7,0
7,23,6,24,0,438.25,3,1,4,1,3,1433.771839,3,106.4,0.4592,0.8221,0.3293,26.2,41.2,115,0.4889,0.7187,42.9,0.3811,28.7,0
8,20,9,22,1,802.5555556,0,3,3,0,0,1423.714989,2,109.5,0.4706,0.7171,0.3665,24.9,39.6,110.3,0.4684,0.7132,47,0.3327,24.3,1
12,18,6,25,0,664,3,1,4,1,0,1463.998255,2,126.4,0.481,0.8174,0.3791,26.6,46.6,119.1,0.4583,0.824,44.8,0.359,26.1,1
24,4,13,18,0,783.75,3,1,4,1,0,1645.09925,2,119.5,0.4877,0.7604,0.426,27.1,42.9,112.6,0.4535,0.7604,42.7,0.3615,27.9,1
9,22,8,20,1,1010.5,2,2,4,1,0,1415.429923,2,115.5,0.4816,0.7828,0.3738,27.1,44.6,114.6,0.4879,0.7047,42.6,0.3855,28.5,0
16,14,12,17,0,539.625,1,2,3,1,0,1598.232253,2,114.3,0.4657,0.7604,0.3502,26,46.8,106.3,0.4272,0.7164,49.8,0.3147,23.2,1
23,5,18,12,0,715.1428571,0,3,3,0,0,1756.207379,2,115.1,0.4537,0.7878,0.3912,20.4,43.1,115.1,0.4607,0.8217,47.6,0.3905,20.5,0
14,13,10,20,1,770.7,1,1,2,0,0,1609.255687,2,116.9,0.5073,0.7633,0.4243,26.4,47,107.5,0.4433,0.8061,40.7,0.3679,24.6,1
11,20,13,16,1,833,2,2,4,1,0,1566.118489,2,112.4,0.4878,0.8491,0.3737,25.6,43.5,108.1,0.4709,0.8332,36.9,0.3677,25.8,0
15,14,11,18,1,907.4444444,1,2,3,0,0,1567.425226,2,109.5,0.4543,0.7621,0.3487,27,44.1,113.3,0.4764,0.8006,44.6,0.4067,27.1,1
11,18,6,25,0,729.8571429,2,1,3,0,0,1443.473286,2,123.8,0.4795,0.8346,0.3704,25.6,44.6,119.6,0.4659,0.836,45.4,0.3613,25.2,1
23,8,19,8,1,675.8571429,3,0,3,0,0,1763.779465,2,114.5,0.4711,0.8063,0.3728,25.4,46.7,106.5,0.4305,0.7783,41.6,0.3447,25.5,0
23,4,13,18,0,783.75,2,1,3,0,1,1637.973695,2,120.6,0.4923,0.7687,0.4274,26.8,42.4,111.4,0.4493,0.7549,43.6,0.3537,27.8,1
16,13,12,17,0,539.625,0,3,3,0,0,1606.183118,2,118.1,0.4765,0.77,0.3676,26.3,47.3,107,0.4323,0.6931,48.5,0.3052,22.5,0
26,3,24,5,1,864.1666667,1,2,3,0,0,1857.565447,2,114.1,0.4537,0.7465,0.3484,26.5,50.1,113.1,0.4324,0.7934,48.9,0.3488,23.5,1
11,17,14,16,0,877.5,0,3,3,0,0,1647.05615,2,119,0.469,0.7505,0.3626,27.4,46.7,118.1,0.4844,0.695,47.1,0.3571,28.7,1
11,19,13,16,1,856.5,1,3,4,0,0,1575.326124,2,113.2,0.4761,0.8642,0.3787,25.3,44.1,106.5,0.4653,0.8304,38.1,0.3624,25.4,0
20,9,16,13,1,1070,4,0,4,0,0,1649.156622,2,111.2,0.4654,0.7838,0.3579,20.3,43.2,113.5,0.4851,0.7997,43.4,0.4194,22.3,1
