home_w_visitor,home_l_visitor,away_w_visitor,away_l_visitor,top_players_visitor,eff_visitor,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,back2back_visitor,missing_players_visitor,visitor_elo,month,Away_Last_10_Avg_PTS_home,Away_Last_10_Avg_FG_PCT_home,Away_Last_10_Avg_FT_PCT_home,Away_Last_10_Avg_FG3_PCT_home,Away_Last_10_Avg_AST_home,Away_Last_10_Avg_REB_home,Away_Last_10_Avg_PTS_away,Away_Last_10_Avg_FG_PCT_away,Away_Last_10_Avg_FT_PCT_away,Away_Last_10_Avg_REB_away,Away_Last_10_Avg_FG3_PCT_away,Away_Last_10_Avg_AST_away,home_team_wins
17,13,13,14,1,956.2,1,2,3,1,0,1545.610451,2,101.5,0.48,0.7413,0.356,22.7,41,104.1,0.459,0.7607,41.7,0.37,23.1,0
26,4,14,13,1,931.1,1,2,3,0,0,1638.695436,2,97.3,0.476,0.7721,0.2863,21.3,37,96.5,0.4613,0.7376,39.8,0.3365,19.6,0
17,9,19,14,3,959,0,4,4,1,1,1540.400588,2,91.4,0.439,0.7626,0.3317,21.4,38,95,0.4688,0.7748,42.5,0.3361,21.1,1
25,5,17,10,1,1106,0,3,3,0,1,1639.224762,2,91.1,0.44,0.7694,0.318,20.3,39.7,90.8,0.4336,0.8072,42.2,0.3137,21.3,0
16,15,5,24,0,801.8571429,1,3,4,0,0,1396.521141,2,103.4,0.4676,0.7869,0.3293,23.6,39.3,95.8,0.4348,0.7605,39.4,0.3779,20.9,1
17,13,12,14,1,956.2,1,1,2,0,0,1540.029883,2,99.9,0.4852,0.7326,0.3313,22.8,41.2,100.8,0.446,0.7819,41,0.3547,21.5,0
21,8,20,11,2,1001,2,1,3,0,0,1611.499984,2,97.6,0.4648,0.8327,0.3665,23.9,41.9,94.3,0.4415,0.7495,40.8,0.3227,21.2,0
19,9,10,20,1,868,2,0,2,0,0,1569.685162,2,99.3,0.4579,0.7783,0.3348,23.3,42.6,98.8,0.4681,0.7729,42.2,0.3201,20.9,0
19,13,7,18,2,827.2222222,2,0,2,0,0,1433.405191,2,99.5,0.4615,0.7945,0.3463,23.4,39.8,99,0.4826,0.7318,40.9,0.3571,24.7,1
16,14,10,18,0,421.0909091,2,0,2,0,1,1475.707444,2,100.1,0.4541,0.7859,0.3426,21.7,40.1,96.6,0.4567,0.7991,41.2,0.2937,22.2,1
22,8,20,8,2,752.2727273,1,1,2,1,0,1639.582073,2,105,0.4791,0.7155,0.3623,22.8,41.6,104.2,0.4908,0.7748,40.3,0.3809,22.5,0
16,13,13,18,1,802.8888889,1,2,3,1,0,1518.131511,2,107.2,0.4587,0.788,0.3254,22.9,42.3,107.2,0.4621,0.779,45.9,0.3586,22.7,0
20,8,13,19,1,901.6666667,1,2,3,1,0,1565.255559,2,103.4,0.4585,0.7882,0.3664,19.9,44.9,98.4,0.4564,0.7445,39.5,0.3288,19.7,1
16,12,13,15,2,808.75,1,1,2,0,0,1481.607291,2,106.8,0.4729,0.8482,0.3408,21.2,43.1,106.1,0.4761,0.7474,40.5,0.4368,21.6,0
17,9,18,14,3,954.9,0,3,3,0,0,1528.417008,2,93.1,0.4553,0.7579,0.3544,23,38.6,94.7,0.4704,0.7716,41.2,0.318,21.7,0
