diff_home_wins,diff_home_losses,diff_away_wins,diff_away_losses,diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away
-3,5,-6,5,4,2.4,-1.7,-0.5,0.0635,0.0983,0.0441,0.0235,0.0157,-0.054,-3.9,-4.5
8,-6,4,-7,-1.8,-2,-0.3,-2.5,0.0075,0.0001,-0.0253,-0.0187,-0.0474,-0.1034,3.2,2
1,-3,1,1,-3.1,-3,-4.1,-3.6,-0.0182,-0.0007,-0.0332,-0.0292,0.0315,0.0164,2.6,0.9
-3,4,2,-2,3.7,7.9,-0.8,1.8,-0.0002,-0.0696,-0.0204,-0.0056,0.0447,0.0552,1.3,0.1
-9,9,-6,8,-11,-2.3,-3.8,-0.6,-0.0821,-0.0532,-0.0299,0.0215,-0.036,-0.0466,-1.4,-2.9
2,2,3,-5,-7.2,-4.3,-3.9,-1.9,-0.0538,-0.0298,0.0219,0.0112,-0.0317,-0.0114,-5.2,-0.9
7,-9,11,-9,-15.6,-7.9,-9,-1.8,-0.0154,-0.0691,-0.0566,-0.0103,0.0134,0.0054,-3.8,2.3
2,4,-3,-5,3.1,5.1,-0.5,-2.1,0.0138,0.0312,0.0133,0.0143,0.0115,0.0151,-3.3,-1.4
-2,4,-1,1,-7,-7.5,-3.6,-7.2,0.0871,-0.156,-0.0095,-0.0222,-0.0172,-0.0102,-3.3,-0.4
2,-2,-3,4,11.7,14.5,4.7,1.1,-0.0238,0.0018,0.0173,0.0042,-0.0724,0.037,2.3,8
-4,0,-1,7,7.2,3.7,5.4,5.4,-0.0047,-0.0498,0.0322,0.0313,-0.0144,0.0121,-3.4,-1.2
-2,0,-6,8,-4.2,1.6,-1.8,-0.1,-0.0693,-0.0485,-0.0264,-0.02,-0.016,0.0414,0.4,1.3
-5,4,-6,7,-8.2,-5,0.6,0.9,-0.0891,0.1176,-0.0446,-0.0145,-0.1058,-0.0971,3.4,1.1
10,-5,0,-1,3.3,-0.4,-0.5,2.8,0.0429,-0.1586,-0.0463,-0.0495,0.0511,-0.0726,6.7,5.2
0,-1,-5,9,4.7,-2.4,-0.6,-2.7,0.009,-0.0354,0.0452,0.007,0.0492,0.0467,-2,-5.5
5,0,-3,-2,1.3,1.8,1.8,-1.6,-0.0726,0.0404,0.0128,0.0324,0.035,0.0291,-5.7,-0.9
3,-4,4,-3,5.1,-0.3,-1.4,-2,0.0186,0.0053,0.031,0.0093,0.068,0.0984,-1.3,-8.6
3,-6,2,3,0.6,-1.1,2.4,0.7,-0.003,-0.1119,0.0061,-0.009,0.0071,0.1409,0.9,-2.4
1,-4,1,1,4.3,8.1,2.9,2.1,0.0263,-0.0796,0.0039,0.0283,0.0235,-0.0392,-1.1,3.1
-7,1,4,1,3.9,9.3,-1.6,-2.4,-0.0115,0.0538,0.0293,0.0399,-0.0424,0.1005,-5.7,-0.7
-11,7,-6,7,1.1,4.1,3.3,1,0.0297,0.0613,-0.0117,0.0115,-0.0193,0.0888,-0.7,-2.2
-1,-2,1,0,2.2,2.1,2,1.4,0.0238,0.0205,0.001,0.0075,-0.0666,0.0574,-1.3,2.5
3,-3,7,-11,-19.3,-11.2,-6.5,-1.4,-0.0495,-0.0602,-0.0852,-0.042,-0.0353,-0.0838,3.2,7.2
2,-4,5,-1,-1.6,0.5,-4.3,0.6,0.0304,-0.158,-0.0257,0.0091,-0.0132,0.0161,-2.8,0.1
-3,1,-2,2,6.3,8.3,0.9,-3.4,-0.0093,-0.0053,0.0306,0.003,0.0221,0.0474,-2.7,0.9
-10,6,-5,7,-0.9,5.7,4.2,6.2,-0.0957,0.0768,-0.0108,0.039,-0.0796,0.0156,-3.2,2.2
-9,2,-8,14,6.1,6.7,6.9,5.1,0.0644,-0.0101,0.0135,0.0397,0.0072,0.0594,-2.2,-0.3
6,-5,5,-5,8.6,0,1.3,-1.2,0.1036,-0.056,0.0314,-0.0138,-0.009,-0.0061,0.2,1.8
0,5,-1,-2,-5.1,-2.8,-3.1,-6.6,0.0378,0.043,0.0089,0.0125,0.0695,0.0464,-8.3,-3.3
5,-6,3,-3,-19.5,-17.2,-2.7,-5.3,-0.1021,-0.0954,-0.0466,-0.0295,-0.0212,-0.0423,-1.8,3.4
0,2,0,-1,7.3,13.9,-0.5,2.9,0.0606,0.0325,-0.0128,0.0229,0.0307,-0.0458,0.9,3.6
0,-6,3,1,-3.6,-4.4,-3.2,-1.5,0.0006,0.0089,-0.0381,-0.0426,-0.0702,0.0696,4.6,3.1
0,-3,7,-3,-13.5,-7.2,-0.9,2.9,-0.0503,0.0192,-0.0551,-0.0059,-0.0233,0.0316,2.4,1.6
12,-11,-1,1,14.1,7.1,4.5,3,0.0376,-0.0128,0.0328,-0.0082,0.005,-0.0027,1.6,5
-2,3,-1,-1,-1.1,1,1,5.4,0.0243,-0.0707,-0.0072,0.0383,-0.0145,-0.0201,-0.2,-0.1
-9,6,-2,3,-23.2,-12.7,-6.3,-5.9,-0.0148,0.0078,-0.0577,-0.0153,0.0622,-0.0114,-2.7,1
3,1,-6,2,-5.3,-11.6,0.4,-1.5,-0.0063,0.0299,-0.0214,-0.072,-0.0168,-0.0836,7.9,4.3
2,-6,4,4,2.9,-1.6,-1.7,-2.3,0.0198,0.0304,-0.0034,0.0023,0.044,0.0162,1,-3.3
0,4,-4,1,12.1,10.4,4.3,4.9,-0.0205,0.0422,0.0127,0.01,-0.0781,-0.0039,3.5,6.6
-3,2,-3,5,-5.8,-2.6,0.8,0,0.0443,0.0652,0.0087,-0.0157,-0.0472,0.093,0.4,-2
-4,0,-4,9,-0.7,-3.1,1.5,-0.4,0.0481,-0.086,-0.0084,-0.016,0.0195,-0.0126,2,0.7
-2,3,2,-2,-13.2,-12.3,-4.6,-3,-0.0302,0.0118,-0.0276,-0.0219,-0.0517,-0.0515,0.6,-4.5
-6,2,4,1,-12,-6.4,-1.5,-1.6,-0.0695,0.0524,-0.0405,-0.0119,-0.0117,0.0491,1.4,-1.3
-2,1,1,2,13,12.8,1.6,-2.8,-0.0163,-0.0183,0.0508,0.0139,0.0746,-0.0007,-2.9,2.2
0,-3,1,1,-10.4,-16.4,0.2,-3.3,-0.068,-0.0263,0.0091,-0.0322,-0.0348,0.0479,-1.5,-2.7
5,-3,7,-6,3.2,-1.1,-1.2,1.3,-0.0662,-0.0403,0.0215,-0.0024,-0.0372,-0.0249,-1.3,-2.4
2,-1,-3,2,7.3,5.8,4.2,0.6,-0.0084,0.0851,0.0465,0.0271,0.0472,0.0099,-3.5,-3.1
8,-9,6,-7,14.1,11.3,4.5,7.3,-0.0183,0.0751,0.0364,0.012,0.0415,0.0378,3.7,2.4
-5,7,0,-5,0.1,2.6,-1.5,5.7,0.006,-0.0047,-0.0241,0.0085,0.0083,0.014,2.3,1.9
